os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 2 (soldier),AMD Custom APU 0405,AMD Custom GPU 0405,12077680,5.13.0-valve36-1-neptune,,schedutil
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
95.22,10502,54.4776,54,79,74,720,687,1.43693,1,6.08398,107267339
77.5134,12901,54.4776,54,79,74,720,687,1.43693,1,6.08398,120168463
81.2414,12309,54.4776,54,79,74,720,687,1.43693,1,6.08398,132477888
79.3903,12596,54.4776,54,79,74,720,687,1.43693,1,6.08398,145077772
90.7194,11023,54.4776,54,79,74,720,687,1.43693,1,6.08398,156100986
79.8085,12530,54.4776,54,79,74,720,687,1.43693,1,6.08398,168635611
82.7883,12079,54.4776,54,79,74,720,687,1.43693,1,6.08398,180712385
78.5053,12738,54.4776,54,79,74,720,687,1.43693,1,6.08398,193451709
93.3358,10714,54.4776,54,79,74,720,687,1.43693,1,6.08398,204169433
77.4893,12905,54.4776,54,79,74,720,687,1.43693,1,6.08398,217073508
86.6777,11537,54.4776,54,79,74,720,687,1.43693,1,6.08398,228611292
81.7261,12236,54.4776,54,79,74,720,687,1.43693,1,6.08398,240848336
78.6102,12721,54.4776,54,79,74,720,687,1.43693,1,6.08398,253571531
101.307,9871,54.4776,54,79,74,720,687,1.43693,1,6.08398,263443695
77.9362,12831,54.4776,54,79,74,720,687,1.43693,1,6.08398,276273999
84.1184,11888,54.4776,54,79,74,720,687,1.43693,1,6.08398,288165173
78.4006,12755,54.4776,54,79,74,720,687,1.43693,1,6.08398,300920718
91.76,10898,54.4776,54,79,74,720,687,1.43693,1,6.08398,311821652
87.3973,11442,54.4776,54,79,74,720,687,1.43693,1,6.08398,323262586
71.6589,13955,54.4776,54,79,74,720,687,1.43693,1,6.08398,337218591
90.212,11085,54.4776,54,79,74,720,687,1.43693,1,6.08398,348305205
73.1208,13676,54.4776,54,79,74,720,687,1.43693,1,6.08398,361981540
84.8176,11790,54.4776,54,79,74,720,687,1.43693,1,6.08398,373773014
79.2393,12620,54.4776,54,79,74,720,687,1.43693,1,6.08398,386393998
78.9017,12674,54.4776,54,79,74,720,687,1.43693,1,6.08398,399068693
75.3977,13263,54.4776,54,79,74,720,687,1.43693,1,6.08398,412333358
74.107,13494,54.4776,54,79,74,720,687,1.43693,1,6.08398,425828303
94.8497,10543,54.4776,54,79,74,720,687,1.43693,1,6.08398,436371856
80.0512,12492,54.4776,54,79,74,720,687,1.43693,1,6.08398,448864741
77.6156,12884,54.4776,54,79,74,720,687,1.43693,1,6.08398,461748825
74.9064,13350,54.4776,54,79,74,720,687,1.43693,1,6.08398,475100370
95.2744,10496,54.4776,54,79,74,720,687,1.43693,1,6.08398,485596644
81.9202,12207,54.4776,54,79,74,720,687,1.43693,1,6.08398,497804138
91.8274,10890,54.4776,54,79,74,720,687,1.43693,1,6.08398,508694212
85.778,11658,54.4776,54,79,74,720,687,1.43693,1,6.08398,520353836
78.9453,12667,54.4776,54,79,74,720,687,1.43693,1,6.08398,533021991
87.1612,11473,54.4776,54,79,74,720,687,1.43693,1,6.08398,544495995
