os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 2 (soldier),AMD Custom APU 0405,AMD Custom GPU 0405,15174256,5.13.0-valve36-1-neptune,,schedutil
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
86.2143,11599,56.599,99,72,75,1334,687,0.948135,6,6.60475,301799889
81.1886,12317,56.599,99,72,75,1334,687,0.948135,6,6.60475,314118372
80.1796,12472,56.599,99,72,75,1334,687,0.948135,6,6.60475,326592324
95.5384,10467,56.599,99,72,75,1334,687,0.948135,6,6.60475,337060955
80.2118,12467,56.599,99,72,75,1334,687,0.948135,6,6.60475,349527558
82.0546,12187,56.599,99,72,75,1334,687,0.948135,6,6.60475,361715530
87.4661,11433,56.599,99,72,75,1334,687,0.948135,6,6.60475,373149242
58.3942,17125,56.599,99,72,75,1334,687,0.948135,6,6.60475,390275710
99.5322,10047,56.599,99,72,75,1334,687,0.948135,6,6.60475,400322330
85.2951,11724,56.599,99,72,75,1334,687,0.948135,6,6.60475,412049182
84.9257,11775,56.599,99,72,75,1334,687,0.948135,6,6.60475,423827894
78.7526,12698,56.599,99,72,75,1334,687,0.948135,6,6.60475,436523297
78.2963,12772,56.599,99,72,75,1334,687,0.948135,6,6.60475,449297480
102.976,9711,56.599,99,72,75,1334,687,0.948135,6,6.60475,459008950
79.8148,12529,56.599,99,72,75,1334,687,0.948135,6,6.60475,471538123
80.8604,12367,56.599,99,72,75,1334,687,0.948135,6,6.60475,483905926
81.8733,12214,56.599,99,72,75,1334,687,0.948135,6,6.60475,496121388
77.006,12986,56.599,99,72,75,1334,687,0.948135,6,6.60475,509108162
89.0631,11228,56.599,99,72,75,1334,687,0.948135,6,6.60475,520336653
76.864,13010,56.599,99,72,75,1334,687,0.948135,6,6.60475,533347866
89.0948,11224,56.599,99,72,75,1334,687,0.948135,6,6.60475,544573388
85.6972,11669,56.599,99,72,75,1334,687,0.948135,6,6.60475,556242590
77.1188,12967,56.599,99,72,75,1334,687,0.948135,6,6.60475,569212353
84.0407,11899,56.599,99,72,75,1334,687,0.948135,6,6.60475,581111335
81.3736,12289,56.599,99,72,75,1334,687,0.948135,6,6.60475,593401548
83.3333,12000,56.599,99,72,75,1334,687,0.948135,6,6.60475,605402630
