os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 2 (soldier),AMD Custom APU 0405,AMD Custom GPU 0405,12077680,5.13.0-valve36-1-neptune,,schedutil
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
89.4855,11175,59.2233,99,76,78,1599,687,1.58575,9,6.95294,435075811
83.2432,12013,59.2233,99,76,78,1599,687,1.58575,9,6.95294,535145360
73.3568,13632,59.2233,99,76,78,1599,687,1.58575,9,6.95294,635177379
81.0307,12341,59.2233,99,76,78,1599,687,1.58575,9,6.95294,735219598
82.8432,12071,59.2233,99,76,78,1599,687,1.58575,9,6.95294,835252208
50.8828,19653,59.2233,99,76,78,1599,687,1.58575,9,6.95294,935286017
105.119,9513,62.2166,99,78,78,1600,687,1.58558,9,6.85713,1035312306
88.1523,11344,62.2166,99,78,78,1600,687,1.58558,9,6.85713,1135470235
73.8171,13547,62.2166,99,78,78,1600,687,1.58558,9,6.85713,1235683645
83.0634,12039,62.2166,99,78,78,1600,687,1.58558,9,6.85713,1335736544
80.2246,12465,62.2166,99,78,78,1600,687,1.58558,9,6.85713,1435767753
84.4309,11844,65.5502,99,78,79,1597,687,1.58558,9,6.85823,1535800292
85.266,11728,65.5502,99,78,79,1597,687,1.58558,9,6.85823,1635844461
80.8342,12371,65.5502,99,78,79,1597,687,1.58558,9,6.85823,1735891780
78.7898,12692,65.5502,99,78,79,1597,687,1.58558,9,6.85823,1835925230
86.4977,11561,65.5502,99,78,79,1597,687,1.58558,9,6.85823,1935952499
92.816,10774,59.596,99,78,78,1597,687,1.58558,8,6.86165,2035980718
100.452,9955,59.596,99,78,78,1597,687,1.58558,8,6.86165,2136026977
84.4523,11841,59.596,99,78,78,1597,687,1.58558,8,6.86165,2236049686
85.8369,11650,59.596,99,78,78,1597,687,1.58558,8,6.86165,2336078345
95.1565,10509,59.596,99,78,78,1597,687,1.58558,8,6.86165,2436129645
87.5044,11428,63.6139,99,79,78,1600,687,1.58558,9,6.86391,2536181714
86.0659,11619,63.6139,99,79,78,1600,687,1.58558,9,6.86391,2636217463
86.6326,11543,63.6139,99,79,78,1600,687,1.58558,9,6.86391,2736245782
89.7989,11136,63.6139,99,79,78,1600,687,1.58558,9,6.86391,2836279131
76.1209,13137,63.6139,99,79,78,1600,687,1.58558,9,6.86391,2936329740
58.8443,16994,60.9375,99,79,78,1600,687,1.58558,9,6.85954,3036365040
84.8033,11792,60.9375,99,79,78,1600,687,1.58558,9,6.85954,3136396119
