os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 2 (soldier),AMD Custom APU 0405,AMD Custom GPU 0405,12077680,5.13.0-valve36-1-neptune,,schedutil
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
134.318,7445,67.0823,99,78,73,1178,687,0.846493,6,4.53325,274703888
115.088,8689,67.0823,99,78,73,1178,687,0.846493,6,4.53325,283393781
127.259,7858,67.0823,99,78,73,1178,687,0.846493,6,4.53325,291252124
119.789,8348,67.0823,99,78,73,1178,687,0.846493,6,4.53325,299600687
161.394,6196,67.0823,99,78,73,1178,687,0.846493,6,4.53325,305797149
130.617,7656,67.0823,99,78,73,1178,687,0.846493,6,4.53325,313453752
131.389,7611,67.0823,99,78,73,1178,687,0.846493,6,4.53325,321064945
115.942,8625,67.0823,99,78,73,1178,687,0.846493,6,4.53325,329691518
133.174,7509,67.0823,99,78,73,1178,687,0.846493,6,4.53325,337201771
112.969,8852,67.0823,99,78,73,1178,687,0.846493,6,4.53325,346055364
103.135,9696,67.0823,99,78,73,1178,687,0.846493,6,4.53325,355751267
168.011,5952,67.0823,99,78,73,1178,687,0.846493,6,4.53325,361705019
122.564,8159,67.0823,99,78,73,1178,687,0.846493,6,4.53325,369864342
107.817,9275,67.0823,99,78,73,1178,687,0.846493,6,4.53325,379141596
154.727,6463,67.0823,99,78,73,1178,687,0.846493,6,4.53325,385604108
120.322,8311,67.0823,99,78,73,1178,687,0.846493,6,4.53325,393916311
130.361,7671,67.0823,99,78,73,1178,687,0.846493,6,4.53325,401587894
113.084,8843,67.0823,99,78,73,1178,687,0.846493,6,4.53325,410431317
153.374,6520,67.0823,99,78,73,1178,687,0.846493,6,4.53325,416952999
103.928,9622,67.0823,99,78,73,1178,687,0.846493,6,4.53325,426575113
138.562,7217,67.0823,99,78,73,1178,687,0.846493,6,4.53325,433792585
123.062,8126,67.0823,99,78,73,1178,687,0.846493,6,4.53325,441920378
77.6217,12883,67.0823,99,78,73,1178,687,0.846493,6,4.53325,454803563
97.8186,10223,67.0823,99,78,73,1178,687,0.846493,6,4.53325,465027086
136.407,7331,67.0823,99,78,73,1178,687,0.846493,6,4.53325,472358789
201.979,4951,67.0823,99,78,73,1178,687,0.846493,6,4.53325,477310501
164.312,6086,67.0823,99,78,73,1178,687,0.846493,6,4.53325,483398953
117.744,8493,67.0823,99,78,73,1178,687,0.846493,6,4.53325,491892066
119.403,8375,67.0823,99,78,73,1178,687,0.846493,6,4.53325,500268169
114.286,8750,67.0823,99,78,73,1178,687,0.846493,6,4.53325,509020542
100.18,9982,67.0823,99,78,73,1178,687,0.846493,6,4.53325,519001356
157.803,6337,67.0823,99,78,73,1178,687,0.846493,6,4.53325,525339088
125.612,7961,67.0823,99,78,73,1178,687,0.846493,6,4.53325,533302121
122.369,8172,67.0823,99,78,73,1178,687,0.846493,6,4.53325,541474274
110.351,9062,67.0823,99,78,73,1178,687,0.846493,6,4.53325,550537167
132.415,7552,67.0823,99,78,73,1178,687,0.846493,6,4.53325,558090030
119.574,8363,67.0823,99,78,73,1178,687,0.846493,6,4.53325,566454703
129.316,7733,67.0823,99,78,73,1178,687,0.846493,6,4.53325,574188845
117.911,8481,67.0823,99,78,73,1178,687,0.846493,6,4.53325,582670649
144.655,6913,67.0823,99,78,73,1178,687,0.846493,6,4.53325,589584431
134.048,7460,67.0823,99,78,73,1178,687,0.846493,6,4.53325,597046594
123.077,8125,67.0823,99,78,73,1178,687,0.846493,6,4.53325,605171587
118.793,8418,67.0823,99,78,73,1178,687,0.846493,6,4.53325,613591420
123.031,8128,67.0823,99,78,73,1178,687,0.846493,6,4.53325,621720872
129.618,7715,67.0823,99,78,73,1178,687,0.846493,6,4.53325,629436495
136.314,7336,67.0823,99,78,73,1178,687,0.846493,6,4.53325,636774588
129.988,7693,67.0823,99,78,73,1178,687,0.846493,6,4.53325,644467811
122.609,8156,67.0823,99,78,73,1178,687,0.846493,6,4.53325,652626274
114.718,8717,67.0823,99,78,73,1178,687,0.846493,6,4.53325,661343237
134.771,7420,67.0823,99,78,73,1178,687,0.846493,6,4.53325,668764439
123.305,8110,67.0823,99,78,73,1178,687,0.846493,6,4.53325,676874962
112.765,8868,67.0823,99,78,73,1178,687,0.846493,6,4.53325,685743925
159.744,6260,67.0823,99,78,73,1178,687,0.846493,6,4.53325,692004338
106.462,9393,67.0823,99,78,73,1178,687,0.846493,6,4.53325,701398841
135.833,7362,67.0823,99,78,73,1178,687,0.846493,6,4.53325,708761234
128.485,7783,67.0823,99,78,73,1178,687,0.846493,6,4.53325,716544956
125.188,7988,67.0823,99,78,73,1178,687,0.846493,6,4.53325,724536089
110.767,9028,67.0823,99,78,73,1178,687,0.846493,6,4.53325,733562662
113.779,8789,67.0823,99,78,73,1178,687,0.846493,6,4.53325,742352326
124.394,8039,67.0823,99,78,73,1178,687,0.846493,6,4.53325,750392208
134.608,7429,67.0823,99,78,73,1178,687,0.846493,6,4.53325,757822571
116.822,8560,67.0823,99,78,73,1178,687,0.846493,6,4.53325,766383964
106.18,9418,67.0823,99,78,73,1178,687,0.846493,6,4.53325,775811488
124.363,8041,70.4156,99,75,73,1423,687,0.846493,8,4.64464,783845050
131.423,7609,70.4156,99,75,73,1423,687,0.846493,8,4.64464,791455123
112.309,8904,70.4156,99,75,73,1423,687,0.846493,8,4.64464,800360746
125.881,7944,70.4156,99,75,73,1423,687,0.846493,8,4.64464,808305499
126.215,7923,70.4156,99,75,73,1423,687,0.846493,8,4.64464,816229182
112.233,8910,70.4156,99,75,73,1423,687,0.846493,8,4.64464,825140395
120.758,8281,70.4156,99,75,73,1423,687,0.846493,8,4.64464,833422008
119.489,8369,70.4156,99,75,73,1423,687,0.846493,8,4.64464,841794391
127.551,7840,70.4156,99,75,73,1423,687,0.846493,8,4.64464,849633824
110.852,9021,70.4156,99,75,73,1423,687,0.846493,8,4.64464,858655017
130.208,7680,70.4156,99,75,73,1423,687,0.846493,8,4.64464,866335960
143.39,6974,70.4156,99,75,73,1423,687,0.846493,8,4.64464,873310092
132.696,7536,70.4156,99,75,73,1423,687,0.846493,8,4.64464,880847545
117.813,8488,70.4156,99,75,73,1423,687,0.846493,8,4.64464,889336458
127.91,7818,70.4156,99,75,73,1423,687,0.846493,8,4.64464,897155331
114.247,8753,70.4156,99,75,73,1423,687,0.846493,8,4.64464,905908874
128.7,7770,70.4156,99,75,73,1423,687,0.846493,8,4.64464,913680877
124.378,8040,70.4156,99,75,73,1423,687,0.846493,8,4.64464,921722620
134.336,7444,70.4156,99,75,73,1423,687,0.846493,8,4.64464,929166082
126.47,7907,70.4156,99,75,73,1423,687,0.846493,8,4.64464,937074305
117.192,8533,70.4156,99,75,73,1423,687,0.846493,8,4.64464,945607778
123.671,8086,70.4156,99,75,73,1423,687,0.846493,8,4.64464,953694931
118.666,8427,70.4156,99,75,73,1423,687,0.846493,8,4.64464,962123344
114.639,8723,70.4156,99,75,73,1423,687,0.846493,8,4.64464,970847577
151.08,6619,70.4156,99,75,73,1423,687,0.846493,8,4.64464,977467540
115.42,8664,70.4156,99,75,73,1423,687,0.846493,8,4.64464,986132463
123.885,8072,70.4156,99,75,73,1423,687,0.846493,8,4.64464,994204696
126.326,7916,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1002121279
134.935,7411,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1009534921
116.645,8573,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1018107644
113.623,8801,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1026909567
128.304,7794,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1034705130
124.953,8003,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1042709033
134.989,7408,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1050117386
117.412,8517,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1058634709
127.146,7865,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1066500662
125.581,7963,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1074464294
114.956,8699,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1083163317
126.502,7905,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1091073260
124.86,8009,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1099080903
119.503,8368,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1107450126
120.54,8296,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1115747539
116.414,8590,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1124338142
103.509,9661,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1133998336
108.707,9199,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1143198559
159.541,6268,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1149467651
135.74,7367,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1156835244
123.092,8124,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1164960327
129.752,7707,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1172668920
128.717,7769,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1180439062
138.408,7225,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1187664785
107.032,9343,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1197008168
140.786,7103,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1204112881
121.153,8254,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1212367134
122.911,8136,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1220503397
125.849,7946,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1228450719
108.26,9237,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1237689163
137.95,7249,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1244939705
106,9434,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1254373609
137.419,7277,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1261651751
87.7039,11402,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1273053925
163.265,6125,70.4156,99,75,73,1423,687,0.846493,8,4.64464,1279190608
120.322,8311,74.2092,99,74,74,1349,687,0.846493,7,4.73022,1287492341
133.28,7503,74.2092,99,74,74,1349,687,0.846493,7,4.73022,1294995893
124.517,8031,74.2092,99,74,74,1349,687,0.846493,7,4.73022,1303026646
111.894,8937,74.2092,99,74,74,1349,687,0.846493,7,4.73022,1311965109
124.486,8033,74.2092,99,74,74,1349,687,0.846493,7,4.73022,1319998182
120.978,8266,74.2092,99,74,74,1349,687,0.846493,7,4.73022,1328264685
111.995,8929,74.2092,99,74,74,1349,687,0.846493,7,4.73022,1337193978
132.749,7533,74.2092,99,74,74,1349,687,0.846493,7,4.73022,1344727851
