os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 2 (soldier),AMD Custom APU 0405,AMD Custom GPU 0405,15174256,5.13.0-valve36-1-neptune,,schedutil
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
157.134,6364,65.3646,99,77,73,1172,687,0.857201,5,4.49878,48587130
150.943,6625,65.3646,99,77,73,1172,687,0.857201,5,4.49878,55212037
126.247,7921,65.3646,99,77,73,1172,687,0.857201,5,4.49878,63134805
118.779,8419,65.3646,99,77,73,1172,687,0.857201,5,4.49878,71554563
163.827,6104,65.3646,99,77,73,1172,687,0.857201,5,4.49878,77660030
122.624,8155,65.3646,99,77,73,1172,687,0.857201,5,4.49878,85814978
120.598,8292,65.3646,99,77,73,1172,687,0.857201,5,4.49878,94107756
144.844,6904,65.3646,99,77,73,1172,687,0.857201,5,4.49878,101014224
116.482,8585,65.3646,99,77,73,1172,687,0.857201,5,4.49878,109599792
134.898,7413,65.3646,99,77,73,1172,687,0.857201,5,4.49878,117013810
120.366,8308,65.3646,99,77,73,1172,687,0.857201,5,4.49878,125321878
124.797,8013,65.3646,99,77,73,1172,687,0.857201,5,4.49878,133335847
124.023,8063,65.3646,99,77,73,1172,687,0.857201,5,4.49878,141397865
119.389,8376,65.3646,99,77,73,1172,687,0.857201,5,4.49878,149776174
143.041,6991,65.3646,99,77,73,1172,687,0.857201,5,4.49878,156767251
123.732,8082,65.3646,99,77,73,1172,687,0.857201,5,4.49878,164850309
137.438,7276,65.3646,99,77,73,1172,687,0.857201,5,4.49878,172128196
128.074,7808,65.3646,99,77,73,1172,687,0.857201,5,4.49878,179936374
126.855,7883,65.3646,99,77,73,1172,687,0.857201,5,4.49878,187820223
134.463,7437,65.3646,99,77,73,1172,687,0.857201,5,4.49878,195258880
115.141,8685,65.3646,99,77,73,1172,687,0.857201,5,4.49878,203944209
134.971,7409,65.3646,99,77,73,1172,687,0.857201,5,4.49878,211354737
