os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 2 (soldier),AMD Custom APU 0405,AMD Custom GPU 0405,12077680,5.13.0-valve36-1-neptune,,schedutil
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
124.409,8038,67.9612,99,75,77,1232,687,1.23072,6,6.51394,352265406
138.985,7195,67.9612,99,75,77,1232,687,1.23072,6,6.51394,452333098
144.051,6942,67.9612,99,75,77,1232,687,1.23072,6,6.51394,552398990
115.835,8633,67.9612,99,75,77,1232,687,1.23072,6,6.51394,652459012
155.763,6420,67.9612,99,75,77,1232,687,1.23072,6,6.51394,752523484
131.857,7584,67.9612,99,75,77,1232,687,1.23072,6,6.51394,852595446
138.179,7237,67.2414,97,75,76,1458,687,1.23072,8,6.51013,952670767
126.55,7902,67.2414,97,75,76,1458,687,1.23072,8,6.51013,1052740729
132.521,7546,67.2414,97,75,76,1458,687,1.23072,8,6.51013,1152808411
143.369,6975,67.2414,97,75,76,1458,687,1.23072,8,6.51013,1252877223
127.861,7821,67.2414,97,75,76,1458,687,1.23072,8,6.51013,1352948105
135.208,7396,70.4545,99,77,77,1430,687,1.23072,8,6.50901,1453013637
143.164,6985,70.4545,99,77,77,1430,687,1.23072,8,6.50901,1553083549
86.783,11523,70.4545,99,77,77,1430,687,1.23072,8,6.50901,1653148340
131.458,7607,70.4545,99,77,77,1430,687,1.23072,8,6.50901,1753214192
121.743,8214,70.4545,99,77,77,1430,687,1.23072,8,6.50901,1853284264
121.433,8235,72.0403,98,77,78,1391,687,1.23072,7,6.50592,1953430726
130.191,7681,72.0403,98,77,78,1391,687,1.23072,7,6.50592,2053497598
134.825,7417,72.0403,98,77,78,1391,687,1.23072,7,6.50592,2153562060
134.228,7450,72.0403,98,77,78,1391,687,1.23072,7,6.50592,2253632052
136.407,7331,72.0403,98,77,78,1391,687,1.23072,7,6.50592,2353695103
135.648,7372,69.2695,98,78,76,1391,687,1.23072,7,6.50619,2453762965
142.613,7012,69.2695,98,78,76,1391,687,1.23072,7,6.50619,2553830657
141.263,7079,69.2695,98,78,76,1391,687,1.23072,7,6.50619,2653893169
136.649,7318,69.2695,98,78,76,1391,687,1.23072,7,6.50619,2753957231
141.383,7073,69.2695,98,78,76,1391,687,1.23072,7,6.50619,2854020643
117.786,8490,70.1493,99,78,77,1464,687,1.23072,8,6.50593,2954097215
131.13,7626,70.1493,99,78,77,1464,687,1.23072,8,6.50593,3054163467
158.68,6302,70.1493,99,78,77,1464,687,1.23072,8,6.50593,3154223708
129.719,7709,70.1493,99,78,77,1464,687,1.23072,8,6.50593,3254292620
153.965,6495,70.1493,99,78,77,1464,687,1.23072,8,6.50593,3354548472
139.821,7152,71.1735,99,77,79,1438,687,1.23072,7,6.50677,3454614144
171.762,5822,71.1735,99,77,79,1438,687,1.23072,7,6.50677,3554679136
154.751,6462,71.1735,99,77,79,1438,687,1.23072,7,6.50677,3654750247
179.953,5557,71.1735,99,77,79,1438,687,1.23072,7,6.50677,3754924539
142.857,7000,71.1735,99,77,79,1438,687,1.23072,7,6.50677,3855007861
153.069,6533,70.4835,98,78,78,1414,687,1.23072,8,6.50694,3955086133
163.72,6108,70.4835,98,78,78,1414,687,1.23072,8,6.50694,4055152735
138.812,7204,70.4835,98,78,78,1414,687,1.23072,8,6.50694,4155230586
157.58,6346,70.4835,98,78,78,1414,687,1.23072,8,6.50694,4255299808
135.962,7355,70.4835,98,78,78,1414,687,1.23072,8,6.50694,4355367830
151.103,6618,71,99,78,77,1464,687,1.23072,8,6.50744,4455433112
