os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 2 (soldier),AMD Custom APU 0405,AMD Custom GPU 0405,15174256,5.13.0-valve36-1-neptune,,schedutil
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
113.533,8808,67.2457,51,75,69,687,687,0.805157,2,4.6852,148161172
147.362,6786,67.2457,51,75,69,687,687,0.805157,2,4.6852,154947909
136.612,7320,67.2457,51,75,69,687,687,0.805157,2,4.6852,162269606
137.76,7259,67.2457,51,75,69,687,687,0.805157,2,4.6852,169528264
141.603,7062,67.2457,51,75,69,687,687,0.805157,2,4.6852,176591211
126.727,7891,67.2457,51,75,69,687,687,0.805157,2,4.6852,184483009
127.47,7845,67.2457,51,75,69,687,687,0.805157,2,4.6852,192328867
109.769,9110,67.2457,51,75,69,687,687,0.805157,2,4.6852,201439676
169.262,5908,67.2457,51,75,69,687,687,0.805157,2,4.6852,207350352
124.719,8018,67.2457,51,75,69,687,687,0.805157,2,4.6852,215370091
117.481,8512,67.2457,51,75,69,687,687,0.805157,2,4.6852,223881769
159.16,6283,67.2457,51,75,69,687,687,0.805157,2,4.6852,230168236
119.246,8386,67.2457,51,75,69,687,687,0.805157,2,4.6852,238553694
124.054,8061,67.2457,51,75,69,687,687,0.805157,2,4.6852,246615143
114.207,8756,67.2457,51,75,69,687,687,0.805157,2,4.6852,255374112
186.532,5361,67.2457,51,75,69,687,687,0.805157,2,4.6852,260737787
108.19,9243,67.2457,51,75,69,687,687,0.805157,2,4.6852,269978527
122.414,8169,67.2457,51,75,69,687,687,0.805157,2,4.6852,278147255
145.921,6853,67.2457,51,75,69,687,687,0.805157,2,4.6852,285001902
122.911,8136,67.2457,51,75,69,687,687,0.805157,2,4.6852,293140250
116.401,8591,67.2457,51,75,69,687,687,0.805157,2,4.6852,301729879
124.938,8004,67.2457,51,75,69,687,687,0.805157,2,4.6852,309735177
157.878,6334,67.2457,51,75,69,687,687,0.805157,2,4.6852,316070164
133.708,7479,67.2457,51,75,69,687,687,0.805157,2,4.6852,323549961
132.013,7575,67.2457,51,75,69,687,687,0.805157,2,4.6852,331125379
128.899,7758,67.2457,51,75,69,687,687,0.805157,2,4.6852,338884407
128.617,7775,67.2457,51,75,69,687,687,0.805157,2,4.6852,346659435
75.4205,13259,67.2457,51,75,69,687,687,0.805157,2,4.6852,359918929
164.69,6072,67.2457,51,75,69,687,687,0.805157,2,4.6852,365991745
164.609,6075,67.2457,51,75,69,687,687,0.805157,2,4.6852,372067081
108.237,9239,67.2457,51,75,69,687,687,0.805157,2,4.6852,381307361
132.908,7524,67.2457,51,75,69,687,687,0.805157,2,4.6852,388831378
116.986,8548,67.2457,51,75,69,687,687,0.805157,2,4.6852,397380397
136.986,7300,67.2457,51,75,69,687,687,0.805157,2,4.6852,404682335
132.943,7522,67.2457,51,75,69,687,687,0.805157,2,4.6852,412204082
112.12,8919,67.2457,51,75,69,687,687,0.805157,2,4.6852,421124062
122.835,8141,67.2457,51,75,69,687,687,0.805157,2,4.6852,429266840
133.067,7515,67.2457,51,75,69,687,687,0.805157,2,4.6852,436783158
101.42,9860,67.2457,51,75,69,687,687,0.805157,2,4.6852,446642618
143.554,6966,67.2457,51,75,69,687,687,0.805157,2,4.6852,453608985
130.993,7634,67.2457,51,75,69,687,687,0.805157,2,4.6852,461244523
121.315,8243,67.2457,51,75,69,687,687,0.805157,2,4.6852,469488361
119.062,8399,67.2457,51,75,69,687,687,0.805157,2,4.6852,477888150
131.234,7620,67.2457,51,75,69,687,687,0.805157,2,4.6852,485508928
114.22,8755,67.2457,51,75,69,687,687,0.805157,2,4.6852,494264606
105.031,9521,67.2457,51,75,69,687,687,0.805157,2,4.6852,503788216
111.694,8953,67.2457,51,75,69,687,687,0.805157,2,4.6852,512740175
181.554,5508,67.2457,51,75,69,687,687,0.805157,2,4.6852,518250061
